2024	4
285	3
2025 	4
5000	7
1000	3
2022	4
285	3
2021 	4
5001	7
1002	3
2020	4
286	3
2005 	4
5020	7
100	2
2022	1
285	3
2021 	4
1022	3
202	1
285	3
2015 	4
500	2
120	1
222	1
285	3
2121 	2
501	5
1002	3
2020	4
286	3
2005 	4
5020	7
100	2
2022	1
285	3
2021 	4
1022	3
285	3
2021 	4
5001	7
1002	3
2020	4
286	3
2005 	4
5020	7
100	2
2022	1
285	3
2021 	4
1022	3
202	1
285	3
2015 	4
500	2
120	1
222	1
285	3
2121 	2
1022	3
202	1
285	3
2015 	4
500	2
120	1
222	1
285	3
2121 	2
501	5
1002	3
2020	4
286	3
2005 	4
5020	7
100	2
2022	1
285	3
2021 	4
1022	3
285	3
2021 	4
5001	7
1002	3
2020	4
286	3
2005 	4

